Name,Wine,Region,Country,Winery,Regional Name,Varietal Name,Year,Rating,Price,Currency,Bottle Type
Aubaï Mema La Douzième Syrah - Viognier 2019,La Douzième Syrah - Viognier,Pays d'Oc,France,Aubaï Mema,Languedoc-Roussillon,Red,2019,4,16,EUR,Bottle (0.75l)
Clos des Confidences Plume des Confidences 2017,Plume des Confidences,Saint-Émilion,France,Clos des Confidences,Bordeaux Right Bank,Saint-Émilion,2017,4.1,16,EUR,Bottle (0.75l)
Domaine des Remizières Origine Crozes-Hermitage 2022,Origine Crozes-Hermitage,Crozes-Hermitage,France,Domaine des Remizières,Northern Rhône,Crozes-Hermitage,2022,4,16,EUR,Bottle (0.75l)
Mas Gabinèle (Thierry Rodriguez) Faugères Rouge 2019,Faugères Rouge,Faugères,France,Mas Gabinèle (Thierry Rodriguez),Languedoc-Roussillon,Red,2019,4,16,EUR,Bottle (0.75l)
Clos des Confidences Plume des Confidences 2016,Plume des Confidences,Saint-Émilion,France,Clos des Confidences,Bordeaux Right Bank,Saint-Émilion,2016,4.1,16,EUR,Bottle (0.75l)
Bruno Andreu Pézenas 2019,Pézenas,Pézenas,France,Bruno Andreu,Languedoc-Roussillon,Red,2019,4.1,16,EUR,Bottle (0.75l)
La Rioja Alta Viña Alberdi Crianza 2020,Viña Alberdi Crianza,Rioja,Spain,La Rioja Alta,Spanish,Rioja Red,2020,4.1,16,EUR,Bottle (0.75l)
Mas Becha Oh My Grenache 2022,Oh My Grenache,Côtes du Roussillon,France,Mas Becha,Languedoc-Roussillon,Red,2022,4.1,16,EUR,Bottle (0.75l)
Calu Vigneti Ankaa Cesanese del Piglio 2021,Ankaa Cesanese del Piglio,Cesanese del Piglio,Italy,Calu Vigneti,Central Italy,Red,2021,4,16.04,EUR,Bottle (0.75l)
Domaine Santa Duc Côtes du Rhône Les Quatre Terres 2020,Côtes du Rhône Les Quatre Terres,Côtes-du-Rhône,France,Domaine Santa Duc,Southern Rhône,Red,2020,4,16.05,EUR,Bottle (0.75l)
Vignobles Chaigne et Fils Château Ballan Larquette Prestige 2018,Château Ballan Larquette Prestige,Bordeaux,France,Vignobles Chaigne et Fils,Bordeaux,Red,2018,4.1,16.06,EUR,Bottle (0.75l)
